Number of Vehicles	Accident Day	Time	1st Road Class	Road Surface	Lighting Conditions	Weather Conditions	Casualty Class	Sex of Casualty	Age of Casualty	Type of Vehicle	Casualty Severity
4	Friday	2	A(M)	Wet / Damp	Darkness: no street lighting	Fine without high winds	Driver or rider	Female	25	Car	Slight
4	Friday	1	A(M)	Wet / Damp	Darkness: no street lighting	Fine without high winds	Driver or rider	Male	41	Car	Slight
4	Friday	4	A(M)	Wet / Damp	Darkness: no street lighting	Fine without high winds	Driver or rider	Male	23	Car	Slight
4	Friday	1	A(M)	Wet / Damp	Darkness: no street lighting	Fine without high winds	Driver or rider	Female	24	Car	Slight
2	Friday	3	Unclassified	Dry	Darkness: street lights present and lit	Unknown	Driver or rider	Male	24	Pedal cycle	Slight
1	Friday	4	Unclassified	Dry	Darkness: street lights present and lit	Fine with high winds	Pedestrian	Male	70	Car	Slight
2	Friday	1	B	Dry	Darkness: street lights present and lit	Unknown	Driver or rider	Male	33	Taxi/Private hire car	Slight
1	Saturday	4	B	Dry	Darkness: street lighting unknown	Unknown	Driver or rider	Male	35	Goods vehicle 3.5 tonnes mgw and under	Serious
1	Saturday	4	B	Wet / Damp	Daylight: street lights present	Fine without high winds	Pedestrian	Female	81	Car	Slight
2	Saturday	3	A	Wet / Damp	Daylight: street lights present	Snowing with high winds	Driver or rider	Male	33	Pedal cycle	Slight
1	Saturday	2	Motorway	Wet / Damp	Darkness: street lights present and lit	Snowing without high winds	Driver or rider	Male	48	Car	Slight
2	Sunday	1	Unclassified	Wet / Damp	Daylight: street lights present	Fine without high winds	Driver or rider	Female	37	Car	Slight
2	Sunday	1	Unclassified	Wet / Damp	Daylight: street lights present	Fine without high winds	Driver or rider	Male	28	Car	Slight
2	Sunday	4	Unclassified	Wet / Damp	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	20	Car	Slight
2	Sunday	1	Unclassified	Wet / Damp	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	7	Car	Slight
