Number of Vehicles	Accident Day	Time	1st Road Class	Road Surface	Lighting Conditions	Weather Conditions	Casualty Class	Sex of Casualty	Age of Casualty	Type of Vehicle	Casualty Severity
2	Monday	3	A	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	8	Taxi/Private hire car	Slight
2	Monday	4	A	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	7	Taxi/Private hire car	Slight
2	Monday	2	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	12	Pedal cycle	Serious
1	Monday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Male	30	Car	Slight
2	Thursday	1	A	Dry	Daylight: street lights present	Unknown	Driver or rider	Male	38	Pedal cycle	Slight
1	Tuesday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Male	6	Car	Slight
2	Tuesday	4	A	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	29	Bus or coach (17 or more passenger seats)	Slight
2	Tuesday	4	A	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	26	Bus or coach (17 or more passenger seats)	Slight
2	Tuesday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	28	Car	Slight
2	Tuesday	2	Unclassified	Dry	Daylight: street lights present	Unknown	Driver or rider	Male	35	Car	Slight
1	Wednesday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Male	11	Car	Slight
2	Wednesday	4	Motorway	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	65	Car	Slight
2	Wednesday	4	Motorway	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Male	31	Car	Slight
2	Wednesday	2	Motorway	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	33	Car	Slight
2	Wednesday	4	Motorway	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Male	31	Car	Slight
2	Wednesday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	51	Car	Slight
1	Wednesday	1	B	Dry	Daylight: street lights present	Unknown	Pedestrian	Male	64	Taxi/Private hire car	Slight
2	Saturday	4	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	26	Car	Slight
1	Wednesday	3	B	Dry	Darkness: street lights present and lit	Fine without high winds	Vehicle or pillion passenger	Female	17	Car	Slight
1	Thursday	2	A	Dry	Darkness: street lights present and lit	Fine without high winds	Driver or rider	Male	45	Car	Slight
2	Thursday	4	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	31	Pedal cycle	Serious
2	Thursday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	42	Pedal cycle	Slight
3	Thursday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	37	Pedal cycle	Serious
3	Thursday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	64	Pedal cycle	Serious
2	Thursday	2	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	19	Motorcycle over 50cc and up to 125cc	Slight
2	Thursday	1	Unclassified	Dry	Daylight: street lights present	Other	Driver or rider	Male	42	Car	Slight
3	Thursday	1	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	45	Car	Slight
3	Thursday	4	A	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Male	13	Car	Slight
3	Thursday	4	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	55	Car	Slight
3	Thursday	1	A	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	79	Car	Slight
2	Thursday	3	B	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	14	Pedal cycle	Slight
2	Friday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	36	Pedal cycle	Slight
1	Friday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Male	5	Car	Serious
1	Friday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Female	13	Car	Serious
2	Friday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	26	Car	Slight
1	Thursday	4	A	Dry	Darkness: street lights present and lit	Unknown	Vehicle or pillion passenger	Female	22	Taxi/Private hire car	Slight
1	Saturday	4	Unclassified	Dry	Darkness: street lights present and lit	Fine without high winds	Driver or rider	Male	39	Motorcycle over 50cc and up to 125cc	Serious
4	Sunday	3	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	52	Car	Slight
4	Sunday	3	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	75	Pedal cycle	Serious
4	Sunday	3	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	68	Pedal cycle	Serious
4	Sunday	1	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	74	Pedal cycle	Slight
2	Sunday	2	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	28	Pedal cycle	Slight
3	Sunday	1	A	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	32	Car	Slight
3	Sunday	4	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	56	Car	Slight
1	Sunday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	22	Car	Slight
2	Sunday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	19	Motorcycle over 50cc and up to 125cc	Slight
2	Sunday	4	Motorway	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	25	Car	Slight
											
											
											
											
											
											
											
											
2	Tuesday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	34	Pedal cycle	Serious
											
											
											
											
											
											
											
											
											
											
											
											
											
1	Thursday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Female	72	Car	Serious
											
1	Thursday	1	A	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Female	30	Car	Serious
											
1	Friday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	44	Car	Serious
2	Friday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	95	Car	Serious
											
											
											
											
1	Friday	4	A	Dry	Darkness: street lights present and lit	Fine without high winds	Pedestrian	Male	63	Taxi/Private hire car	Serious
											
											
											
											
											
											
											
1	Sunday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Male	21	Car	Serious
											
2	Sunday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	27	Pedal cycle	Serious
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
2	Monday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	28	Motorcycle over 125cc and up to 500cc	Serious
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
2	Wednesday	2	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	25	Pedal cycle	Serious
2	Wednesday	4	A	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Male	85	Bus or coach (17 or more passenger seats)	Serious
											
											
											
											
2	Thursday	1	Unclassified	Dry	Darkness: street lights present and lit	Fine without high winds	Vehicle or pillion passenger	Male	26	Car	Serious
											
											
											
											
											
											
											
											
1	Thursday	2	A	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Male	13	Car	Serious
											
											
											
											
2	Friday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	49	Pedal cycle	Serious
											
											
											
											
											
											
											
											
											
											
											
											
1	Sunday	2	Unclassified	Dry	Darkness: street lights present and lit	Fine without high winds	Pedestrian	Male	25	Taxi/Private hire car	Serious
											
											
											
											
											
2	Monday	3	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	75	Car	Serious
2	Monday	3	A	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	70	Car	Serious
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
2	Wednesday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Female	11	Car	Serious
											
2	Wednesday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	14	Pedal cycle	Serious
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
1	Friday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	56	Mobility Scooter	Serious
											
											
											
											
											
2	Saturday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	16	M/cycle 50cc and under	Serious
2	Saturday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	55	Motorcycle over 500cc	Serious
											
											
											
											
											
2	Monday	1	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	79	Car	Serious
2	Monday	1	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	24	Car	Serious
											
											
											
											
											
											
											
											
											
											
											
											
											
2	Thursday	3	B	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	44	M/cycle 50cc and under	Serious
											
											
											
											
											
3	Friday	2	Motorway	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	44	Car	Serious
											
											
											
1	Friday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Female	14	Car	Serious
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
1	Tuesday	4	A	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Female	31	Car	Serious
											
											
											
											
1	Wednesday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Male	9	Taxi/Private hire car	Serious
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
2	Saturday	4	Motorway	Wet / Damp	Darkness: street lights present and lit	Fine without high winds	Vehicle or pillion passenger	Male	31	Car	Serious
2	Saturday	4	Motorway	Wet / Damp	Darkness: street lights present and lit	Fine without high winds	Vehicle or pillion passenger	Female	64	Car	Serious
											
											
											
											
											
2	Sunday	4	Unclassified	Wet / Damp	Daylight: street lights present	Fine without high winds	Driver or rider	Male	23	Motorcycle over 50cc and up to 125cc	Serious
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
1	Tuesday	1	A	Dry	Darkness: no street lighting	Fine without high winds	Driver or rider	Female	34	Motorcycle over 500cc	Serious
2	Tuesday	3	Unclassified	Dry	Darkness: street lights present and lit	Fine without high winds	Driver or rider	Male	38	Pedal cycle	Serious
											
1	Wednesday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	31	Motorcycle over 125cc and up to 500cc	Serious
											
											
1	Wednesday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	23	Motorcycle over 500cc	Serious
											
2	Wednesday	3	A	Dry	Darkness: street lights present and lit	Fine without high winds	Driver or rider	Male	20	M/cycle 50cc and under	Serious
											
											
											
											
3	Thursday	3	Unclassified	Dry	Darkness: street lights present and lit	Fine without high winds	Driver or rider	Male	31	Motorcycle over 500cc	Serious
											
											
											
											
2	Friday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	80	Car	Serious
											
											
1	Saturday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Female	59	Taxi/Private hire car	Serious
											
											
											
											
											
											
											
											
											
											
2	Saturday	4	A	Dry	Daylight: street lights present	Unknown	Driver or rider	Female	41	Pedal cycle	Serious
											
1	Tuesday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	5	Car	Serious
											
											
											
											
											
											
											
2	Wednesday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	17	Pedal cycle	Serious
											
											
											
											
											
1	Wednesday	4	Motorway	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	26	Car	Serious
1	Wednesday	4	Motorway	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	17	Car	Serious
											
											
											
2	Wednesday	1	Unclassified	Dry	Darkness: street lights present and lit	Fine without high winds	Driver or rider	Male	22	Motorcycle over 50cc and up to 125cc	Serious
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
2	Friday	3	Unclassified	Dry	Daylight: street lights present	Unknown	Vehicle or pillion passenger	Female	28	Car	Serious
											
											
											
											
2	Saturday	1	Unclassified	Wet / Damp	Daylight: street lights present	Raining without high winds	Driver or rider	Male	23	Motorcycle over 500cc	Serious
2	Saturday	2	Unclassified	Wet / Damp	Daylight: street lights present	Raining without high winds	Vehicle or pillion passenger	Male	20	Motorcycle over 500cc	Serious
