V_count,A_Day,A_Time,Road_Type,Road_Surface,Lighting_Conditions,Weather_Conditions,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Type_of_Vehicle,Casualty_Severity
1,0,4,0,3,3,5,3,1,35,13,1
2,0,4,2,3,3,1,4,1,46,1,1
2,2,2,0,3,3,5,2,0,63,1,0
1,1,4,4,0,4,0,3,0,85,1,1
2,5,3,0,0,4,1,1,1,26,12,1
1,5,3,4,3,4,1,3,1,60,1,1
2,0,2,4,0,4,1,0,1,22,5,0
3,4,3,4,0,4,1,1,0,53,1,1
2,6,3,4,0,2,1,0,1,36,12,0
2,3,4,4,0,4,1,4,1,17,10,0
2,1,2,0,0,4,1,4,0,45,1,1
2,6,4,4,0,3,1,1,1,31,1,1
2,1,3,0,0,4,1,1,1,58,8,0
4,0,4,0,0,4,1,1,1,58,1,1
3,4,1,4,0,4,1,1,0,42,12,0
1,3,3,4,3,4,5,3,0,44,1,1
